id,lat,long,state,farm_type,irradiance,lcoe,capacity,capacity_factor,power_generation,estimated_cost
0,25.896492,-97.460358,Texas,large_community,5.634078503,39,5.0,0.235,10282.19327,13300000
1,26.032654,-97.738098,Texas,small_utility,5.61641264,39,5.0,0.234,10249.95307,13300000
2,26.059063,-97.208252,Texas,small_community,5.746738434,39,0.15,0.239,314.6339293,399000
3,26.078449,-98.073364,Texas,small_utility,5.742195606,39,5.0,0.239,10479.50698,13300000
4,26.143227,-98.31134,Texas,small_utility,5.817186832,39,5.0,0.242,10616.36597,13300000
5,26.14904,-98.075409,Texas,large_community,5.701752186,39,5.0,0.238,10405.69774,13300000
6,26.180355,-97.367737,Texas,medium_utility,5.720003605,39,500.0,0.238,1043900.658,1330000000
7,26.254963,-98.078491,Texas,small_residential,5.730308056,39,0.005,0.239,10.4578122,13300
8,26.27216,-98.098694,Texas,large_utility,5.734212875,39,2000.0,0.239,4185975.399,5320000000
9,26.272625,-98.078979,Texas,small_community,5.755139828,39,0.15,0.24,315.0939056,399000
10,26.289829,-98.099182,Texas,small_utility,5.734212875,39,5.0,0.239,10464.9385,13300000
11,26.290295,-98.079498,Texas,large_residential,5.755139828,39,0.015,0.24,31.50939056,39900
12,26.300041,-97.606567,Texas,small_utility,5.6045928,39,5.0,0.234,10228.38186,13300000
13,26.300404,-97.586884,Texas,medium_community,5.669364929,39,2.0,0.236,4138.636398,5320000
14,26.300758,-97.567169,Texas,medium_community,5.669364929,39,2.0,0.236,4138.636398,5320000
15,26.306557,-98.13913,Texas,large_utility,5.736873627,39,2000.0,0.239,4187917.748,5320000000
16,26.30703,-98.119415,Texas,medium_utility,5.734212875,39,500.0,0.239,1046493.85,1330000000
17,26.307491,-98.099731,Texas,small_residential,5.734212875,39,0.005,0.239,10.4649385,13300
18,26.316261,-97.685822,Texas,large_residential,5.692050934,39,0.015,0.237,31.16397886,39900
19,26.316639,-97.666107,Texas,small_residential,5.702950001,39,0.005,0.238,10.40788375,13300
20,26.317005,-97.646393,Texas,small_residential,5.702950001,39,0.005,0.238,10.40788375,13300
21,26.317719,-97.606995,Texas,small_residential,5.687242031,39,0.005,0.237,10.37921671,13300
22,26.318073,-97.58728,Texas,medium_utility,5.612900257,39,500.0,0.234,1024354.297,1330000000
23,26.31842,-97.567566,Texas,medium_residential,5.612900257,39,0.01,0.234,20.48708594,26600
24,26.318764,-97.547852,Texas,large_utility,5.586105824,39,2000.0,0.233,4077857.252,5320000000
25,26.320305,-98.297333,Texas,small_community,5.756000996,39,0.15,0.24,315.1410545,399000
26,26.324219,-98.139648,Texas,medium_residential,5.741298199,39,0.01,0.239,20.95573843,26600
27,26.324692,-98.119934,Texas,small_community,5.760225773,39,0.15,0.24,315.3723611,399000
28,26.328297,-97.96225,Texas,medium_utility,5.739746571,39,500.0,0.239,1047503.749,1330000000
29,26.333931,-97.686249,Texas,small_residential,5.692050934,39,0.005,0.237,10.38799295,13300
30,26.334301,-97.666504,Texas,large_utility,5.702950001,39,2000.0,0.238,4163153.501,5320000000
31,26.334675,-97.64679,Texas,small_community,5.702950001,39,0.15,0.238,312.2365126,399000
32,26.335033,-97.627075,Texas,small_utility,5.687242031,39,5.0,0.237,10379.21671,13300000
33,26.335381,-97.607361,Texas,large_residential,5.687242031,39,0.015,0.237,31.13765012,39900
34,26.335735,-97.587646,Texas,large_community,5.612900257,39,5.0,0.234,10243.54297,13300000
35,26.33609,-97.567932,Texas,small_utility,5.612900257,39,5.0,0.234,10243.54297,13300000
36,26.337463,-98.317627,Texas,medium_utility,5.756000996,39,500.0,0.24,1050470.182,1330000000
37,26.337975,-98.297913,Texas,large_community,5.756000996,39,5.0,0.24,10504.70182,13300000
38,26.338482,-98.278198,Texas,large_residential,5.775848389,39,0.015,0.241,31.62276993,39900
39,26.345535,-97.982452,Texas,small_community,5.739746571,39,0.15,0.239,314.2511248,399000
40,26.345959,-97.962738,Texas,small_utility,5.739746571,39,5.0,0.239,10475.03749,13300000
41,26.346397,-97.942993,Texas,large_utility,5.700059891,39,2000.0,0.238,4161043.72,5320000000
42,26.351608,-97.686646,Texas,medium_community,5.725563526,39,2.0,0.239,4179.661374,5320000
43,26.351978,-97.666931,Texas,medium_residential,5.690555096,39,0.01,0.237,20.7705261,26600
44,26.352352,-97.647217,Texas,small_community,5.690555096,39,0.15,0.237,311.5578915,399000
45,26.352703,-97.627502,Texas,medium_utility,5.723421574,39,500.0,0.238,1044524.437,1330000000
46,26.353062,-97.607758,Texas,large_community,5.723421574,39,5.0,0.238,10445.24437,13300000
47,26.353413,-97.588043,Texas,large_residential,5.590576649,39,0.015,0.233,30.60840715,39900
48,26.35376,-97.568329,Texas,large_community,5.590576649,39,5.0,0.233,10202.80238,13300000
49,26.348686,-98.554779,Texas,medium_utility,5.785343647,39,500.0,0.241,1055825.216,1330000000
50,26.349251,-98.535065,Texas,medium_residential,5.785343647,39,0.01,0.241,21.11650431,26600
51,26.349804,-98.51535,Texas,large_residential,5.873007298,39,0.015,0.245,32.15471496,39900
52,26.355644,-98.298462,Texas,small_residential,5.723468304,39,0.005,0.238,10.44532965,13300
53,26.363636,-97.963196,Texas,large_residential,5.695086002,39,0.015,0.237,31.18059586,39900
54,26.36964,-97.667358,Texas,medium_community,5.690555096,39,2.0,0.237,4154.10522,5320000
55,26.370014,-97.647614,Texas,medium_residential,5.690555096,39,0.01,0.237,20.7705261,26600
56,26.366909,-98.535706,Texas,medium_residential,5.784004211,39,0.01,0.241,21.11161537,26600
57,26.386578,-97.707214,Texas,small_community,5.725563526,39,0.15,0.239,313.474603,399000
58,26.391113,-97.450684,Texas,medium_residential,5.643733501,39,0.01,0.235,20.59962728,26600
59,26.403873,-97.727356,Texas,medium_residential,5.665372372,39,0.01,0.236,20.67860916,26600
60,26.404263,-97.707642,Texas,small_community,5.63863802,39,0.15,0.235,308.7154316,399000
61,26.421555,-97.727783,Texas,small_residential,5.665372372,39,0.005,0.236,10.33930458,13300
62,26.422306,-97.688324,Texas,small_utility,5.63863802,39,5.0,0.235,10290.51439,13300000
63,26.43885,-97.747986,Texas,large_community,5.646012783,39,5.0,0.235,10303.97333,13300000
64,26.439232,-97.72821,Texas,medium_community,5.646012783,39,2.0,0.235,4121.589332,5320000
65,26.43961,-97.708496,Texas,large_residential,5.610660076,39,0.015,0.234,30.71836392,39900
66,26.439983,-97.688721,Texas,medium_community,5.610660076,39,2.0,0.234,4095.781855,5320000
67,26.440369,-97.669006,Texas,large_community,5.69562912,39,5.0,0.237,10394.52314,13300000
68,26.440723,-97.649231,Texas,large_residential,5.69562912,39,0.015,0.237,31.18356943,39900
